,Gemeente,29/03/2020,28/03/2020,27/03/2020,26/03/2020,25/03/2020,24/03/2020,23/03/2020,22/03/2020,21/03/2020,20/03/2020,19/03/2020,18/03/2020,17/03/2020,16/03/2020,15/03/2020,14/03/2020,13/03/2020,12/03/2020,11/03/2020,10/03/2020,09/03/2020,08/03/2020
283,Teylingen,13.0,11.0,11.0,10.0,8.0,7.0,7.0,7.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,Tholen,30.0,25.0,20.0,14.0,13.0,11.0,8.0,7.0,7.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,Tiel,29.0,27.0,23.0,20.0,14.0,8.0,6.0,5.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,Tilburg,306.0,284.0,254.0,230.0,224.0,211.0,193.0,178.0,154.0,133.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0
287,Tubbergen,13.0,12.0,11.0,9.0,4.0,4.0,4.0,3.0,3.0,3.0,119.0,95.0,88.0,84.0,68.0,68.0,67.0,50.0,42.0,29.0,27.0,12.0
288,Twenterand,6.0,5.0,5.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
289,Tynaarlo,17.0,16.0,16.0,15.0,13.0,10.0,8.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,Tytsjerksteradiel,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,Uden,142.0,130.0,123.0,107.0,94.0,92.0,84.0,82.0,76.0,71.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,Uitgeest,8.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,60.0,53.0,49.0,43.0,33.0,28.0,25.0,21.0,18.0,13.0,12.0,7.0
293,Uithoorn,17.0,16.0,11.0,7.0,5.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,Urk,14.0,10.0,9.0,8.0,7.0,7.0,7.0,7.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,Utrecht,290.0,265.0,243.0,215.0,191.0,160.0,145.0,131.0,121.0,101.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,Utrechtse Heuvelrug,30.0,25.0,22.0,17.0,15.0,14.0,14.0,11.0,8.0,8.0,83.0,69.0,60.0,48.0,38.0,30.0,26.0,25.0,18.0,14.0,13.0,13.0
297,Vaals,8.0,6.0,6.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,8.0,6.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
298,Valkenburg aan de Geul,13.0,12.0,11.0,10.0,9.0,8.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Valkenswaard,31.0,26.0,20.0,17.0,9.0,8.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,Veendam,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,Veenendaal,15.0,14.0,13.0,7.0,7.0,6.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,Veere,9.0,9.0,8.0,7.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
303,Veldhoven,26.0,24.0,22.0,22.0,18.0,14.0,11.0,11.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
304,Velsen,38.0,31.0,25.0,23.0,15.0,15.0,11.0,10.0,8.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
305,Venlo,86.0,71.0,67.0,54.0,47.0,40.0,35.0,33.0,33.0,24.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
306,Venray,31.0,26.0,21.0,20.0,17.0,13.0,10.0,9.0,8.0,6.0,21.0,12.0,8.0,6.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0
307,Vijfheerenlanden,36.0,27.0,24.0,24.0,21.0,18.0,12.0,11.0,9.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,Vlaardingen,35.0,30.0,28.0,24.0,22.0,18.0,15.0,15.0,12.0,7.0,7.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
309,Vlieland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
310,Vlissingen,10.0,10.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,Voerendaal,10.0,8.0,7.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
312,Voorschoten,8.0,7.0,6.0,6.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,Voorst,18.0,15.0,13.0,10.0,6.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,Vught,36.0,31.0,29.0,25.0,22.0,19.0,17.0,15.0,11.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
315,Waadhoeke,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,6.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0
316,Waalre,7.0,6.0,6.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,Waalwijk,59.0,54.0,46.0,39.0,34.0,29.0,24.0,22.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
318,Waddinxveen,9.0,8.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,3.0,13.0,12.0,11.0,10.0,8.0,8.0,9.0,6.0,6.0,5.0,5.0,5.0
319,Wageningen,8.0,7.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
320,Wassenaar,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,Waterland,12.0,11.0,11.0,11.0,11.0,10.0,9.0,8.0,8.0,7.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
322,Weert,41.0,36.0,27.0,28.0,24.0,17.0,12.0,7.0,7.0,4.0,7.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
323,Weesp,10.0,10.0,8.0,7.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,West Betuwe,34.0,34.0,24.0,22.0,19.0,17.0,15.0,12.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,West Maas en Waal,17.0,15.0,13.0,13.0,11.0,8.0,7.0,6.0,4.0,4.0,8.0,6.0,6.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
326,Westerkwartier,18.0,16.0,15.0,12.0,9.0,8.0,8.0,6.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
327,Westerveld,5.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,Westervoort,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,Westerwolde,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,Westland,58.0,45.0,38.0,30.0,28.0,25.0,21.0,15.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,Weststellingwerf,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,Westvoorne,11.0,11.0,9.0,8.0,8.0,8.0,7.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,Wierden,9.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
334,Wijchen,38.0,35.0,30.0,30.0,24.0,23.0,21.0,20.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,Wijdemeren,5.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,6.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0
336,Wijk bij Duurstede,10.0,9.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,Winterswijk,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
338,Woensdrecht,6.0,6.0,5.0,5.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,Woerden,40.0,34.0,25.0,25.0,22.0,19.0,14.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,Wormerland,8.0,7.0,6.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
341,Woudenberg,7.0,6.0,6.0,7.0,6.0,4.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,Zaanstad,56.0,50.0,46.0,31.0,29.0,20.0,19.0,11.0,9.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
343,Zaltbommel,16.0,13.0,9.0,7.0,7.0,7.0,7.0,6.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
344,Zandvoort,10.0,7.0,6.0,6.0,6.0,6.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
345,Zeewolde,8.0,7.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
346,Zeist,44.0,40.0,34.0,28.0,25.0,20.0,19.0,17.0,17.0,13.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
347,Zevenaar,20.0,15.0,12.0,10.0,10.0,10.0,9.0,8.0,6.0,5.0,12.0,12.0,12.0,8.0,6.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0
348,Zoetermeer,26.0,21.0,17.0,14.0,13.0,8.0,7.0,5.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,Zoeterwoude,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,Zuidplas,16.0,15.0,11.0,10.0,6.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,Zundert,24.0,23.0,17.0,15.0,14.0,11.0,9.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,Zutphen,15.0,11.0,10.0,8.0,8.0,6.0,6.0,4.0,4.0,2.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0
353,Zwartewaterland,43.0,38.0,36.0,33.0,30.0,22.0,19.0,17.0,15.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,Zwijndrecht,15.0,13.0,13.0,11.0,9.0,8.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
355,Zwolle,79.0,68.0,63.0,56.0,47.0,40.0,35.0,28.0,23.0,18.0,6.0,5.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
356,Noardeast-Fryslân,6.0,4.0,,,,,,,,,,,,,,,,,,,,
357,Súdwest-Fryslân,22.0,19.0,,,,,,,,,,,,,,,,,,,,
